tool_number,capability,standalone_source,existing_equivalent,classification,overlap_status,target_production_module,target_api_route,database_entities,background_job,frontend_area,dependencies,integration_status
119,Forecast Ensemble Engine,tool119_forecast_ensemble_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/ensemble,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
120,Intermittent Demand Forecasting Engine,tool120_intermittent_demand_forecasting_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/intermittent,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
121,Exogenous Regressor Forecasting Engine,tool121_exogenous_regressor_forecasting_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/exogenous,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
122,Calendar Event Effects Engine,tool122_calendar_event_effects_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/calendar_effects,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
123,Probabilistic Forecast Calibration Engine,tool123_probabilistic_forecast_calibration_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/probabilistic_calibration,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
124,Multi Series Batch Forecasting Engine,tool124_multi_series_batch_forecasting_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/multi_series,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
125,Forecast Horizon Frequency Recommendation Engine,tool125_forecast_horizon_frequency_recommendation_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/horizon_frequency,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
126,Forecast Override Consensus Engine,tool126_forecast_override_consensus_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/override_consensus,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
127,Forecast Planning Table Builder,tool127_forecast_planning_table_builder.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/planning_table,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
128,Forecast Readiness Engine,tool128_forecast_readiness_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/readiness,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
129,Automated Forecasting Pipeline Engine,tool129_automated_forecasting_pipeline_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/pipeline,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
130,Forecast Portfolio Management Summary Engine,tool130_forecast_portfolio_management_summary_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/forecasting/service.py,/api/v1/datasets/{dataset_id}/forecasting/portfolio_summary,AnalysisRun; Artifact; AutomationRun,yes,Forecast Studio,pandas; numpy; scipy; statsmodels,INTEGRATED_AND_TESTABLE
131,Ml Readiness Problem Type Detector,tool131_ml_readiness_problem_type_detector.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
132,Feature Preprocessing Engine,tool132_feature_preprocessing_engine.zip,Tools 1-100 dataset/version/analysis/artifact/job/workspace foundation,EXTEND,Extends the existing cumulative analyst/orchestration foundation.,app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
133,Regression Model Training Evaluation Engine,tool133_regression_model_training_evaluation_engine.zip,Tools 1-100 dataset/version/analysis/artifact/job/workspace foundation,MERGE,"Merged into shared preprocessing, training, comparison, or evaluation services.",app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
134,Classification Model Training Evaluation Engine,tool134_classification_model_training_evaluation_engine.zip,Tools 1-100 dataset/version/analysis/artifact/job/workspace foundation,MERGE,"Merged into shared preprocessing, training, comparison, or evaluation services.",app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
135,Ml Model Comparison Selection Engine,tool135_ml_model_comparison_selection_engine.zip,Tools 1-100 dataset/version/analysis/artifact/job/workspace foundation,MERGE,"Merged into shared preprocessing, training, comparison, or evaluation services.",app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
136,Hyperparameter Tuning Engine,tool136_hyperparameter_tuning_engine.zip,Tools 1-100 dataset/version/analysis/artifact/job/workspace foundation,MERGE,"Merged into shared preprocessing, training, comparison, or evaluation services.",app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
137,Feature Selection Importance Engine,tool137_feature_selection_importance_engine.zip,Tools 1-100 dataset/version/analysis/artifact/job/workspace foundation,MERGE,"Merged into shared preprocessing, training, comparison, or evaluation services.",app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
138,Model Explainability Driver Analysis Engine,tool138_model_explainability_driver_analysis_engine.zip,Tools 1-100 dataset/version/analysis/artifact/job/workspace foundation,MERGE,"Merged into shared preprocessing, training, comparison, or evaluation services.",app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
139,Class Imbalance Resampling Engine,tool139_class_imbalance_resampling_engine.zip,Tools 1-100 dataset/version/analysis/artifact/job/workspace foundation,MERGE,"Merged into shared preprocessing, training, comparison, or evaluation services.",app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
140,Classification Threshold Optimization Engine,tool140_classification_threshold_optimization_engine.zip,Tools 1-100 dataset/version/analysis/artifact/job/workspace foundation,MERGE,"Merged into shared preprocessing, training, comparison, or evaluation services.",app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
141,Probability Calibration Engine,tool141_probability_calibration_engine.zip,Tools 1-100 dataset/version/analysis/artifact/job/workspace foundation,MERGE,"Merged into shared preprocessing, training, comparison, or evaluation services.",app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
142,Knn Intelligence Engine,tool142_knn_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,DEPRECATED DUPLICATE,Generic wrapper consolidated into explicit registered estimator families.,app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
143,Svm Intelligence Engine,tool143_svm_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,DEPRECATED DUPLICATE,Generic wrapper consolidated into explicit registered estimator families.,app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
144,Decision Tree Intelligence Engine,tool144_decision_tree_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,DEPRECATED DUPLICATE,Generic wrapper consolidated into explicit registered estimator families.,app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
145,Naive Bayes Intelligence Engine,tool145_naive_bayes_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,DEPRECATED DUPLICATE,Generic wrapper consolidated into explicit registered estimator families.,app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
146,Gradient Boosting Intelligence Engine,tool146_gradient_boosting_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,DEPRECATED DUPLICATE,Generic wrapper consolidated into explicit registered estimator families.,app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
147,Ensemble Voting Stacking Engine,tool147_ensemble_voting_stacking_engine.zip,None equivalent; shared platform infrastructure reused,DEPRECATED DUPLICATE,Generic wrapper consolidated into explicit registered estimator families.,app/core/ml/registry.py; app/core/ml/service.py,/api/v1/datasets/{dataset_id}/ml/{operation},RegisteredModel; ModelVersion; Artifact; AnalysisRun; ExperimentRun,yes,Machine Learning; Models,pandas; numpy; scikit-learn; joblib,INTEGRATED_AND_TESTABLE
148,Kmeans Clustering Intelligence Engine,tool148_kmeans_clustering_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
149,Pca Dimensionality Reduction Engine,tool149_pca_dimensionality_reduction_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
150,Dbscan Clustering Intelligence Engine,tool150_dbscan_clustering_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
151,Hierarchical Clustering Intelligence Engine,tool151_hierarchical_clustering_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
152,Isolation Forest Anomaly Intelligence Engine,tool152_isolation_forest_anomaly_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
153,Unsupervised Model Selection Engine,tool153_unsupervised_model_selection_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
154,Gaussian Mixture Intelligence Engine,tool154_gaussian_mixture_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
155,Spectral Clustering Intelligence Engine,tool155_spectral_clustering_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
156,Local Outlier Factor Intelligence Engine,tool156_local_outlier_factor_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
157,One Class Svm Novelty Intelligence Engine,tool157_one_class_svm_novelty_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
158,Clustering Stability Consensus Engine,tool158_clustering_stability_consensus_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
159,Robust Covariance Anomaly Engine,tool159_robust_covariance_anomaly_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
160,Kernel Pca Intelligence Engine,tool160_kernel_pca_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
161,Fastica Source Separation Engine,tool161_fastica_source_separation_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
162,Nmf Latent Factor Intelligence Engine,tool162_nmf_latent_factor_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
163,Tsne Manifold Embedding Engine,tool163_tsne_manifold_embedding_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
164,Mds Embedding Intelligence Engine,tool164_mds_embedding_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
165,Isomap Manifold Intelligence Engine,tool165_isomap_manifold_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
166,Lle Manifold Intelligence Engine,tool166_lle_manifold_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
167,Minibatch Kmeans Intelligence Engine,tool167_minibatch_kmeans_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
168,Birch Clustering Intelligence Engine,tool168_birch_clustering_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
169,Optics Clustering Intelligence Engine,tool169_optics_clustering_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
170,Mean Shift Clustering Intelligence Engine,tool170_mean_shift_clustering_intelligence_engine.zip,None equivalent; shared platform infrastructure reused,NEW,New capability represented by a canonical shared service.,app/core/ml/unsupervised.py,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},AnalysisRun; Artifact; AutomationRun,yes,Machine Learning,pandas; numpy; scikit-learn,INTEGRATED_AND_TESTABLE
